Regiao,UF,Qtd Postos Pesquisados,Data Inicial,Data Final,Valor Minimo,Valor Maximo,Valor Medio
NORTE,RO,1176,2024-07-01,2024-12-31,5.85,7.89,6.905612244897959
NORTE,RR,450,2024-07-01,2024-12-30,6.2,6.93,6.627577777777778
NORTE,TO,1125,2024-07-01,2024-12-31,5.49,6.89,6.420177777777778
SUDESTE,ES,2110,2024-07-01,2024-12-31,5.49,6.94,6.236701421800948
SUDESTE,MG,11737,2024-07-01,2024-12-31,5.15,6.85,6.078773962682117
SUDESTE,RJ,8303,2024-07-01,2024-12-31,5.05,7.79,6.039293026616885
SUDESTE,SP,31101,2024-07-01,2024-12-31,4.59,7.99,5.907720330535996
SUL,PR,6361,2024-07-01,2024-12-31,5.25,6.99,6.1529570822197766
SUL,RS,8126,2024-07-01,2024-12-31,5.19,7.33,6.124405611617031
SUL,SC,4011,2024-07-01,2024-12-31,5.41,6.69,6.17309399152331
CENTRO-OESTE,DF,1259,2025-01-01,2025-06-30,5.71,6.69,6.500826052422558
CENTRO-OESTE,GO,4317,2025-01-02,2025-06-30,5.19,6.99,6.295350938151493
CENTRO-OESTE,MS,1429,2025-01-02,2025-06-30,5.53,7.19,6.276508047585724
CENTRO-OESTE,MT,1988,2025-01-02,2025-06-30,5.71,6.94,6.241217303822937
NORDESTE,AL,1334,2025-01-02,2025-06-30,5.19,7.19,6.398823088455773
NORDESTE,BA,5649,2025-01-02,2025-06-30,5.42,7.27,6.4523809523809526
NORDESTE,CE,2986,2025-01-01,2025-06-30,5.38,7.19,6.446905559276624
NORDESTE,MA,2584,2025-01-02,2025-06-30,5.37,7.19,6.220979102167183
NORDESTE,PB,1673,2025-01-01,2025-06-30,5.64,6.89,6.15501494321578
NORDESTE,PE,4589,2025-01-02,2025-06-30,5.25,7.59,6.344393113968185
NORDESTE,PI,1437,2025-01-06,2025-06-30,5.59,6.59,6.002435629784273
NORDESTE,RN,1109,2025-01-01,2025-06-30,5.54,6.99,6.474643823264202
NORDESTE,SE,861,2025-01-03,2025-06-30,6.19,6.69,6.549082462253194
NORTE,AC,374,2025-01-02,2025-06-26,7.09,8.09,7.733930481283423
NORTE,AM,1389,2025-01-02,2025-06-30,6.94,8.39,7.300496760259179
NORTE,AP,496,2025-01-02,2025-06-23,5.83,6.45,6.042439516129032
NORTE,PA,2830,2025-01-06,2025-06-30,5.37,7.42,6.4523356890459365
